Source,Target,Type
Fadigati,via San Romano,Place
Fadigati,Fadigati,Place
dottor Fadigati,dottor Fadigati,Place
Negozianti,Negozianti,Place
Negozianti,Unione,Place
Negozianti,Fadigati,Place
Venezia,Venezia,Place
Venezia,Biennale,Place
Venezia,Firenze,Place
Venezia,Maggio,Place
Venezia,Berta,Place
Venezia,Firenze,Place
Venezia,Wagner,Place
Venezia,Fadigati,Place
Venezia,Bruno Walter,Place
Venezia,Comunale fiorentino,Place
Venezia,Fadigati,Place
Venezia,maestro germanico,Place
Venezia,Fadigati,Place
Fadigati,Fadigati,Place
Maria Grillanzoni,Maria Grillanzoni,Character
Maria Grillanzoni,Fadigati,Character
Fadigati,Fadigati,Place
Fadigati,Manservigi,Place
Fadigati,corso Roma,Place
Fadigati,corso Giovecca,Place
Fadigati,Trapolini,Place
Fadigati,Fadigati,Place
Fadigati,Baùsi,Place
Fadigati,Olao Baùsi,Place
Fadigati,Fadigati,Place
Fadigati,Bach,Place
Fadigati,Mozart,Place
