Id,Label,Type,Class
Sua Eccellenza Bocchini,Sua Eccellenza Bocchini,Character,Others
Mura degli Angeli,Mura degli Angeli,Place,Ferrara's Locations
Osvaldo Bellistracci,Osvaldo Bellistracci,Character,Others
Arslan,Arslan,Character,Others
Pontelagoscuro,Pontelagoscuro,Place,Ferrara's Locations
Strada Maggiore,Strada Maggiore,Place,Bologna's Locations
Eraldo Deliliers,Eraldo Deliliers,Character,Primary Character
Unione,Unione,Place,Ferrara's Locations
amato bene,amato bene,Character,Primary Character
Hitler,Hitler,Character,Historical Character
Carpi,Carpi,Place,Others
Vittorio Molon,Vittorio Molon,Character,Student Character
Bach,Bach,Character,Cultural Character
Grappa,Grappa,Place,Others
sorelle Sgarbi,sorelle Sgarbi,Character,Others
Riviera di Levante,Riviera di Levante,Place,Others
Mussolini,Mussolini,Character,Historical Character
Roma,Roma,Place,Others
via Savonarola,via Savonarola,Place,Ferrara's Locations
Fanny,Fanny,Character,Family Character
Inghilterra,Inghilterra,Place,Others
sua sorellina,sua sorellina,Character,Family Character
Venezia,Venezia,Place,Others
Condorelli,Condorelli,Character,Others
castello Estense,castello Estense,Place,Ferrara's Locations
Maria Grillanzoni,Maria Grillanzoni,Character,Others
signora Molon,signora Molon,Character,Others
Omero,Omero,Character,Cultural Character
Pascoli,Pascoli,Character,Cultural Character
Cariani,Cariani,Character,Others
mia,mia,Character,Primary Character
Elsa Molon,Elsa Molon,Character,Others
Italia,Italia,Place,Others
Franco,Franco,Character,Bourgeoisie Character
Hôtel Vittoria,Hôtel Vittoria,Place,Adriatic Region's Locations
corso Giovecca,corso Giovecca,Place,Ferrara's Locations
figlioli,figlioli,Character,Bourgeoisie Character
Montagnone,Montagnone,Place,Ferrara's Locations
Acquedotto,Acquedotto,Place,Ferrara's Locations
Credito Italiano,Credito Italiano,Place,Ferrara's Locations
via Bersaglieri del Po,via Bersaglieri del Po,Place,Ferrara's Locations
Elia Corcos,Elia Corcos,Character,Others
Maggio,Maggio,Place,Others
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
dottor Manfredini,dottor Manfredini,Character,Others
Geremia Tabet,Geremia Tabet,Character,Others
Fadigati,Fadigati,Character,Primary Character
Ventimiglia,Ventimiglia,Place,Others
ministro delle Comunicazioni,ministro delle Comunicazioni,Character,Others
Sergio Pavani,Sergio Pavani,Character,Student Character
chiesa di San Francesco,chiesa di San Francesco,Place,Others
Io,Io,Character,Primary Character
Scagnellato,Scagnellato,Character,Others
fratello,fratello,Character,Family Character
Elisa,Elisa,Character,Family Character
PONTELAGOSCURO,PONTELAGOSCURO,Place,Ferrara's Locations
Bologna,Bologna,Place,Bologna's Locations
Val di Fassa,Val di Fassa,Place,Others
Listone,Listone,Place,Ferrara's Locations
Arcivescovado,Arcivescovado,Place,Others
Beppe,Beppe,Character,Others
via Bomporto,via Bomporto,Place,Ferrara's Locations
colle di San Luca,colle di San Luca,Place,Bologna's Locations
maestro germanico,maestro germanico,Character,Cultural Character
signor dottore,signor dottore,Character,Primary Character
Lido,Lido,Place,Others
Jugoslavia,Jugoslavia,Place,Others
Berta,Berta,Place,Others
San Leo,San Leo,Place,Adriatic Region's Locations
Viminale,Viminale,Place,Others
usciere Trapolini,usciere Trapolini,Character,Others
via San Romano,via San Romano,Place,Ferrara's Locations
farmacia Barilari,farmacia Barilari,Place,Ferrara's Locations
conduttore Aldrovandi,conduttore Aldrovandi,Character,Others
signora Dollfuss,signora Dollfuss,Character,Historical Character
Sturla,Sturla,Character,Others
via Garibaldi,via Garibaldi,Place,Ferrara's Locations
Credito,Credito,Place,Ferrara's Locations
degno consorte,degno consorte,Character,Bourgeoisie Character
Croce,Croce,Character,Historical Character
Sua Eccellenza,Sua Eccellenza,Character,Others
Galliera,Galliera,Place,Bologna's Locations
Imperia,Imperia,Place,Others
Caffè Zanarini,Caffè Zanarini,Place,Adriatic Region's Locations
Spianata,Spianata,Place,Ferrara's Locations
Corcos,Corcos,Character,Others
Castelmaggiore,Castelmaggiore,Place,Others
marito,marito,Character,Bourgeoisie Character
Otello Forti,Otello Forti,Character,Student Character
Aretusi,Aretusi,Character,Others
Firenze,Firenze,Place,Others
Excelsior,Excelsior,Place,Others
Palazzo Arcivescovile,Palazzo Arcivescovile,Place,Ferrara's Locations
avvocato Lattes,avvocato Lattes,Character,Others
Mozart,Mozart,Character,Cultural Character
Hôtel Mare e Pineta,Hôtel Mare e Pineta,Place,Adriatic Region's Locations
Moena,Moena,Place,Others
Malta,Malta,Place,Others
nostro Paese,nostro Paese,Place,Others
Bellistracci,Bellistracci,Character,Others
grande Baùsi,grande Baùsi,Character,Others
Giovannino Piazza,Giovannino Piazza,Character,Student Character
corso Roma,corso Roma,Place,Ferrara's Locations
da Gigino,da Gigino,Place,Bologna's Locations
Sciagura,Sciagura,Character,Others
Poggio Renatico,Poggio Renatico,Place,Others
Mascarella,Mascarella,Place,Bologna's Locations
Enrico Sangiuliano,Enrico Sangiuliano,Character,Student Character
Bolognesi,Bolognesi,Character,Others
Bath,Bath,Place,Others
giovanotto,giovanotto,Character,Primary Character
Baùsi,Baùsi,Character,Others
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Ridolini,Ridolini,Character,Cultural Character
Donna Rachele,Donna Rachele,Character,Historical Character
Viserba,Viserba,Place,Adriatic Region's Locations
Dolomiti,Dolomiti,Place,Others
Duce,Duce,Character,Historical Character
San Pietro in Casale,San Pietro in Casale,Place,Others
Filippo,Filippo,Character,Bourgeoisie Character
Torino,Torino,Place,Others
cameriere Giovanni,cameriere Giovanni,Character,Others
Vezio Sturla,Vezio Sturla,Character,Others
Padova,Padova,Place,Others
Comunale fiorentino,Comunale fiorentino,Place,Others
Giovecca,Giovecca,Place,Others
