Id,Label,Type,Class
Pasticceria Majani,Pasticceria Majani,Place,Bologna's Locations
Corticella,Corticella,Place,Others
Wagner,Wagner,Character,Cultural Character
Beethoven,Beethoven,Character,Cultural Character
via San Francesco,via San Francesco,Place,Others
zio Mauro,zio Mauro,Character,Others
i Dollfuss,i Dollfuss,Character,Historical Character
Negozianti,Negozianti,Place,Ferrara's Locations
vicolo mozzo Torcicoda,vicolo mozzo Torcicoda,Place,Ferrara's Locations
Uomo,Uomo,Character,Historical Character
mamma,mamma,Character,Family Character
Nino,Nino,Character,Student Character
me,me,Character,Primary Character
due maschi,due maschi,Character,Bourgeoisie Character
Gilberto,Gilberto,Character,Bourgeoisie Character
ghetto,ghetto,Place,Ferrara's Locations
San Carlo,San Carlo,Place,Ferrara's Locations
chiesa di San Girolamo,chiesa di San Girolamo,Place,Ferrara's Locations
viale Cavour,viale Cavour,Place,Ferrara's Locations
via Cairoli,via Cairoli,Place,Ferrara's Locations
vecchio degenerato,vecchio degenerato,Character,Primary Character
via Ripagrande,via Ripagrande,Place,Ferrara's Locations
Dollfuss,Dollfuss,Character,Historical Character
suo amico,suo amico,Character,Primary Character
via Indipendenza,via Indipendenza,Place,Bologna's Locations
da Majani,da Majani,Place,Bologna's Locations
piazza Cattedrale,piazza Cattedrale,Place,Ferrara's Locations
Attilia,Attilia,Character,Others
signore attempato,signore attempato,Character,Primary Character
piazza del Nettuno,piazza del Nettuno,Place,Bologna's Locations
mio,mio,Character,Primary Character
San Giorgio di Piano,San Giorgio di Piano,Place,Others
coniuge,coniuge,Character,Bourgeoisie Character
Ponza,Ponza,Place,Others
Castello,Castello,Place,Ferrara's Locations
via Zamboni,via Zamboni,Place,Bologna's Locations
Capo della Polizia,Capo della Polizia,Character,Others
Tabet,Tabet,Character,Others
Riccione,Riccione,Place,Adriatic Region's Locations
San Vitale,San Vitale,Place,Bologna's Locations
Ciano,Ciano,Character,Historical Character
Deliliers,Deliliers,Character,Primary Character
femmina,femmina,Character,Bourgeoisie Character
avv,avv,Character,Bourgeoisie Character
Viareggio,Viareggio,Place,Others
sorellina minore,sorellina minore,Character,Family Character
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
via Mazzini,via Mazzini,Place,Ferrara's Locations
via Vignatagliata,via Vignatagliata,Place,Ferrara's Locations
dottor Corazza,dottor Corazza,Character,Others
Ernesto,Ernesto,Character,Family Character
Masi Torello,Masi Torello,Character,Others
intera famiglia,intera famiglia,Character,Bourgeoisie Character
Pisa,Pisa,Place,Others
via Piangipane,via Piangipane,Place,Ferrara's Locations
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Padre Gemelli,Padre Gemelli,Character,Cultural Character
Ferrara,Ferrara,Place,Ferrara's Locations
Adriatico,Adriatico,Place,Adriatic Region's Locations
Parigi,Parigi,Place,Others
Zanarini,Zanarini,Place,Adriatic Region's Locations
signora,signora,Character,Bourgeoisie Character
avvocato,avvocato,Character,Bourgeoisie Character
avvocato Lavezzoli,avvocato Lavezzoli,Character,Bourgeoisie Character
Orazio,Orazio,Character,Cultural Character
Tremiti,Tremiti,Place,Others
Vittorio,Vittorio,Character,Student Character
Milano,Milano,Place,Others
due Torri,due Torri,Place,Bologna's Locations
stazione bolognese,stazione bolognese,Place,Bologna's Locations
Cristina,Cristina,Character,Bourgeoisie Character
Cervia,Cervia,Place,Adriatic Region's Locations
viale dei Mille,viale dei Mille,Place,Adriatic Region's Locations
Schubert,Schubert,Character,Cultural Character
Giovanni,Giovanni,Character,Others
corso Ercole,corso Ercole,Place,Ferrara's Locations
Porto Corsini,Porto Corsini,Place,Adriatic Region's Locations
papà,papà,Character,Family Character
Biennale,Biennale,Place,Others
Caffè della Borsa,Caffè della Borsa,Place,Ferrara's Locations
Trapolini,Trapolini,Character,Others
io,io,Character,Primary Character
Avvocato,Avvocato,Character,Bourgeoisie Character
Germania,Germania,Place,Others
Eraldo,Eraldo,Character,Primary Character
Gilberto Lavezzoli,Gilberto Lavezzoli,Character,Bourgeoisie Character
Francia,Francia,Place,Others
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
Bruno,Bruno,Character,Historical Character
Bocchini,Bocchini,Character,Others
alla Gallina Faraona,alla Gallina Faraona,Place,Bologna's Locations
chiesa di San Cristoforo,chiesa di San Cristoforo,Place,Ferrara's Locations
Gino Cariani,Gino Cariani,Character,Others
padre,padre,Character,Family Character
Cenzo,Cenzo,Character,Others
ragazzi Lavezzoli,ragazzi Lavezzoli,Character,Bourgeoisie Character
Milano Marittima,Milano Marittima,Place,Adriatic Region's Locations
dottore,dottore,Character,Primary Character
Italia settentrionale,Italia settentrionale,Place,Others
signori Lavezzoli,signori Lavezzoli,Character,Bourgeoisie Character
madre,madre,Character,Family Character
Melozzo,Melozzo,Character,Cultural Character
zio,zio,Character,Others
mi,mi,Character,Primary Character
famiglia Lavezzoli,famiglia Lavezzoli,Character,Bourgeoisie Character
Finzi,Finzi,Character,Others
Tubi,Tubi,Character,Others
Grand Hôtel,Grand Hôtel,Place,Adriatic Region's Locations
Punta di Pesaro,Punta di Pesaro,Place,Adriatic Region's Locations
Alberto,Alberto,Character,Others
Olao Baùsi,Olao Baùsi,Character,Others
Rimini,Rimini,Place,Adriatic Region's Locations
figli adolescenti,figli adolescenti,Character,Bourgeoisie Character
Carlo Aretusi,Carlo Aretusi,Character,Others
duomo,duomo,Place,Ferrara's Locations
stazione,stazione,Place,Bologna's Locations
Cesenatico,Cesenatico,Place,Adriatic Region's Locations
Stella del Nord,Stella del Nord,Place,Bologna's Locations
Carpegna,Carpegna,Place,Adriatic Region's Locations
Ilario,Ilario,Character,Others
Fratta Polesine,Fratta Polesine,Place,Others
Hôtel Britannia,Hôtel Britannia,Place,Adriatic Region's Locations
Porta Galliera,Porta Galliera,Place,Bologna's Locations
Tirreno,Tirreno,Place,Others
Pippo,Pippo,Character,Bourgeoisie Character
Bruno Walter,Bruno Walter,Character,Cultural Character
amico inseparabile,amico inseparabile,Character,Primary Character
Parma,Parma,Place,Others
vecchio finocchio,vecchio finocchio,Character,Primary Character
consorte,consorte,Character,Bourgeoisie Character
Mi,Mi,Character,Primary Character
Bianca,Bianca,Character,Student Character
Manservigi,Manservigi,Character,Others
tipo,tipo,Character,Primary Character
Cattolica,Cattolica,Place,Adriatic Region's Locations
